content,target_type
aplikasi yang wajib sekali untuk di instal karena fiturnya sangat manfaat sehingga tidak perlu bayar jasa editing karena bisa edit sendiri sesuai dengan ingin dan hasil juga langsung bisa guna tanpa harus tunggu lama templete yang di sedia juga sangat banyak dan agam,1
mantap,1
bestt aplication i ever use,1
mantap,1
kerenn aplikasi tidak kecewa dan tidak kalah saing dengan aplikasi lain,1
mantap,1
fitur sangat lengkap untuk edit foto dan yang lai dan untuk dapat fitur premium juga kita bisa akses lalu akun ajar id yang dari guru sekolah kita namun sangat lah ibu ribu sayang canva tidak perhati fitur fitur dasar dalam edit teks utama untuk tambah warna gradiasi di buah teks itu tidak bisa terus untuk efek di mens nya juga belum pas terus transfarasi untuk pudar ujung foto juga belum pas tolong adain dulu fitur fitur dasar,1
tidak bisa masuk aneh ni apakah padahal sinyal bagus bagus saja,0
tidak jelas sekali jangan di donlod aplikasi aneh,0
bagus,1
cakap,1
aplikasi sangat bagus dan bantu bisa di tingkat lagi menu nya jadi lebih lengkap,1
kekdk,1
sangat keren,1
ok,1
hmmm apa sekarang buat ukur khusus di hp yang cuma tidak bisa teken sebell,0
aplikasi keren buat kreasi baik mula maupun yang sudah pro dan sangat bantu buat semua konten,1
good,1
canva sekarang kenapa ya tanya tanya tanya kok makin lelet tanya padahal jaring tidak ngelag sama sekali tetapi lot sekali padahal tugas masih numpukk tolong dong canva baik lagi agar tidak lot,1
bagus,1
baik,1
keren sangat jadi gampang kalau bikin poster,1
sangat bagus saat ingin buat presentasi dan buat logo,1
bagus sekali,1
bagus,1
perlu tingkat lagi,0
bagus,1
bagus,1
sangat bantu,1
sangat mudah di guna,1
bagus dan mudah,1
tidak bisa login akun dan selalu tutup aplikasi sendiri,0
sangat bantu desain,1
baik,1
good bangetttt,1
banyak yang tidak bisa di buka karena pro,1
ups,1
bagus,1
luar biasa,1
saya suka canva,1
sangat bagus,1
benar canva ini sangat bagus bantu tugas presentasi saya tetapi saat saya ganti akun biasa jadi akun ajar id dia tak bisa daftar saya sudah uninstal dan download lagi tetapi tetap tak bisa mengapa tak dapat akses canva tanya tanya tanya seru,1
aplikasi bagus sekali banyak juga template nya,1
aplikasi bagus sangat bantu saat edit,1
bagus sih tetapi tidak bisa di instal,1
sangat b,1
i love this app,1
bagus,1
baguzz tetapi banyak yang premium bayar,1
alapyu,1
aplikasi masih banyak bug banyak sekali bug landscape lah bug tidak bisa pencet apa apa lah ini aplikasi masih cacat tolong segera baik kalau tidak lama lama ini aplikasi jadi aplikasi sampah dan saya pas ngedit padahal saya cuma nempelin foto tetapi harus bayar dasar apakah mata duit,0
maa syaa allah sangat baik untuk desain apa itu,1
mantap sekali asli,1
bagus,0
bagus syekalii,0
great,1
sangat muas,1
sangat bermutuh bagi kerja yang buat cv,1
sangat bantu,1
bagus sangat,1
terima kasih sangat bantu,1
keren,1
kereeen sangat mudah guna nya terima kasih canva,1
betul bagus tetapi kalau mau ngedit kadang lot,1
untuk fitur rubah size kok hilang dan makin susah lot enak yang dulu smooth fitur biasa hanya oke,0
buat poster sangat bagus dan tarik tiap buat,1
aplikasi sangar keren,1
aplikasi nya bagus bangettttttt,1
baguss,1
puas,1
mantaap,1
sangat baik terima kasih canva,1
sangat bagus cocok untuk edit,1
oh,1
saya harap canva bisa tambah fitur folder pada project design yang simpan agar lebih rapi dalam klasifikasi project yang sudah kerja,1
top,1
editing yang kelas,1
aplikasi lot sekali seru seru mau ngesave project saja susah tulis unduh tidak bisa di klik seru,0
lmmmlmm ammmammm,0
sangat asyik,1
sangat bagus aplikasi nya keren,1
good,1
bagus sangat karena bisa guna untuk ajar tetapi ada yang saya tidak suka ya ituu canva nya suka ngelagg,1
sangat bagus,1
he,1
mantap,0
ok sangat bantu cantik,1
good job,1
lumayan untuk ajar,1
ok,1
sangat bagus,1
mudah untuk edit,1
akhir dapat aplikasi yang tidak bikin pusing kalau lagi ada tugas presentasi sini template nya banyak sangat yang tarik,1
bagus,1
baik,1
bagus sekali,1
sangat bantu untuk mula yang masih gaptek karena dengan aplikasi ini kita mudah untuk buat video atau edit foto saran banyak menu yang mudah dan bisa buat video jadi sangat tarik,1
aplikasi ini bantu sekali dalam bidang sekolah juga,1
sangat bantu,1
luar biasa,1
lot bet kalau jaring tiba hilang tidak bisa hubung ulang,1
alhamdulillah mudah dalam selesai tugas dengan ada canva,1
ggmu,1
oke mantap lah pakai canva ini mudah desain,1
amazing,1
baik dan bagus,1
bagus,1
sangat bantu terima kasih,1
mantap,1
saya puas,1
masih di ajar karena baru pakai,1
bagus untuk ajar edit,1
mudah di ajar,1
bagus sangat sangat bantu,1
suka sekali foto bisa langsung dijadiin pdf bagus buat saya yang males ngedit lagi hehehehehehehheheh suka sekali pokok terus fiturnya lengkap bgtt suka terima kasih canvaaaaaaww,1
mantap saja,1
kenapa canva tidak bisa di buka padahal sinyal banyak,0
ok sekali,1
lebih bagus lagi kalau gratis,1
sangat bantu saya dalam buat poster brosur dan lain terima kasih telah buat aplikasi yang sangat manfaat,1
uhtpyottpttp,1
top,1
sangat bagus aplikasi sangat bantu dalam hal desain,1
aplikasi canva sangat bantu sekali walau saya agak bingung,1
bagus,1
nice,1
bagussy,1
keren cara mudah buat brbagai macam spanduk dan bahan ajar,1
keren,1
boleh,1
masa saya tidak bisa login akum ajar sih,0
awwaa,1
sangat manfaat sekali,1
sngat bagus saya suka sangat sama apakah ini,1
suka,1
bagus,1
mkasih yah hihi bagus kok,1
wowwwwwwwwwwww,1
bagus sangat mudah,1
sangat bantu untuk usaha,1
sangat baik,1
aplikasi yang bagus,1
luar biasaa seru seru,1
bagus sekali,1
sangat bantu,1
memang mantap untuk desain,1
ok,1
kokol,1
badut sekali,1
best,1
apakah ini bagus sekali bisa ngebantu ngedit ngedit tugas sekolah atau konten apa tetapi kadang suka ngelag padahal jaring baguss kenapaa ya tanya,1
aplikasi canva sangat tarik banyak edit video foto dan logo yang lebih bagus,1
fitur sini bagus sekali lebih gampang dan simpel seru,1
sangat keren,1
sangat bantu,1
lot banh,0
good job,1
keren,1
alhamdulillah sangat manfaat,1
mantap lah,1
aplikasi apa game yang bwrat saja lancar jaya jaring tetapi bukak aplikasi ni kek babi,0
nice,1
kalau sudah tahu algoritma guna pasti langsung di bikin pro bahan element nya,0
sangat bantu kerja sekolah,1
thebest,1
nganuu,0
tidak tahu cara pakai buat promosi sangat ribet,1
sang at bai ke,1
bagus,1
downlod ini buat nugas hhahha tetapi bagus jujurly,1
saya suka canva namun entah jalan pada desktop maupun aplikasi android tetap lot padahal koneksi sangat aman simpan aman dan saya biasa tutup tab aplikasi yang tidak guna saya juga rajin update aplikasi namun canva tetap jalan berat lama untuk proses unduh bahkan untuk cari elemen saja kadang tidak jalan tolong segera baik banyak teman saya yang guna canva keluh hal sama,0
sangat bagus dan sangat bantu jika saya sedang ada tugas sekolah saya inti aplikasi baguss bngttt bngtt,1
sangat mudah bagi yang gaptek sekalioun,1
juara aplikasi paling lot,0
keren,1
mantap,1
bagus,1
sejak ada aplikasi ini tugas saya makin tambah,0
tiap kali mau buat disain loding lama sekali,0
sangat bagus,1
bagus nih,1
bagus banyak fitur yang mudah kita bagai mula,1
aplikasi sangat bagus dan mudah guna dan fitur fiturnya juga lengkap,1
benar benar bantu,1
elemen dan tambah fto tidak bisa guna,1
the best,1
bagus bisa bilang simpel tetapi hasil lebih tarik daripada ms powerpoint tetapi sering gagal atau super lama proses kalau lagi generate downloading video pakai hp di laptop aman,1
gj jing kaga bisa log pakai google sekolah,0
sangat bantu,1
alas kasih bintang tidak bisa log in akun ajar di aplikasi aplikasi lambat bangettt padahal internet bagus dan simpan masih banyak suka ngelag mohon diperbaikiiiiiiiii,0
gacor kang,1
overall saya sukak sihh sama canva karena ya buat edit fto feeds ig kelas jadi gampang buat logo kelas jadi gampang dan buat edit fto gampang pokoknyaaaaa lopp buat canvaa,1
baru mau ajar,1
sangat recommend,1
jadi kreasi lebih semi,1
tidak bisa pakai canva pro,1
canva bagus simple bravo,1
keren dan praktis,1
mantap,1
bagus,1
salah satu aplikasi yang sangat bagus dan cocok bagi desainer,1
sangat bantu,1
kuontolllll,0
sangat bagus sekali,1
bagus sekali buat ngedit tetapi harus beli premi dulu kalau mau tidak ada watermark aduh,1
bagus komplet dan simpel,1
mantab,1
aplikasi nya bagus,1
canva aplikasi editor gambar baik,1
bagus,1
mantul,1
bagus tetapi lama kali ngunduh ya,1
personal,1
cukup bintang karena sempurna itu hany milik allah,1
muas,1
good,1
luar biasa,1
aplikasi yang sangat bagus dan manfaat sedia template banyak dan tinggal pakai mantabbbb,1
moga di tf ke kan sudah di kasi bintang,1
bagus baget,1
bagus,1
good,1
sangat bagus untuk edit foto danembuat logo,1
bagus,1
kenapa ya telah di instal tidak bisa di buka hanya muncul layar putih dan tulis canva mohon jelas,0
good,1
bagus sekali apakah nya,1
awal susah karena saya memang tidak ada basic desain tetapi bantu dengan semua desain yang ada di canva aplikasi nya keren cocok buat mula seperti saya,1
di coba dulu ya,1
fiturnya sudah komplit hanya saja makin kesini jadi lot sekali bahkan hampir tidak bisa di buka padahal sinyal bagus,0
suka bagus sekali tetapi buat login ke akun ajar susahhh,1
mantap sekali,1
aplikasi bagus tolong tambah font eurostile interstate ke canva tetapi yang gratis ya jangan di pro,1
nice,1
bagussss sangat,1
bagus,1
sangat bantu ajar pancasila di waktu seperti ini yang hari hari di beri tugas untuk buat ppt dan presentasi ssmoga fitur fitur canva ke depan makin canggih,1
bagus sekali saya suka terima kasih,1
mantaf,1
keren,1
mantap sangat mudah dan bantu kerja,1
app tai,0
bagus sekali kalian wajib dowload aplikasi ini,1
sangat bantu,1
good,1
bagus sekali dan gampang,1
sangat bagus,0
oke,1
the best,1
bagus sekali,1
bagus sangat manfaat,1
happy carnaval at independent day,1
bagus,0
keren,0
lumayan,1
bagus,1
jren,1
bagus,1
canva sangat keren,1
mantab,1
verry good,1
ok,1
keren asli tidak pernah kecewa,1
keren ngebantu sekali yang buka usaha,1
bagus bgttt,1
good,1
aplikasi yang bagus untuk edit poster,1
bagus dan bantu,1
aplikasi yang bagus dan user friendly bisa edit bagai macam butuh dan bisa tunjang bisnis dari hp moga fitur makin diupdate ya,1
bikin rusak hp semua jadi lot,0
tidak bisa di instal,0
bagus keren dan tarik,1
matapp,1
i t mau n n,1
sangat bantu sekali,1
oke,1
bagus sekali aplikasi,1
bagus,1
sangat bantu,1
sangat bagus dan bantu dalam buat tugs,0
terlalu lot dan banyak bug,0
cukup muas,1
semua sedia di canva aplikasi ini sangat bantu pokok terbaikk,1
bagus aplikasi,1
sangatt membantuuu,1
lama kalau mau unduh gambar,0
jauh ini cukup baik,1
jaring internet full tetapi aplikasi seperti berat sekali loading nya lama,0
sering ngeleg,1
baikkkkkkkkkk,1
good like,1
mantap aplikasi yang bagus buat edit foto dan vidio,1
bagus sekali,1
sangat bagus,1
canva sangat bantu saya untuk kerja tugas dari sekolah dan template nya juga unik unik bisa buat logo infografis dan lain lain saya suka canva,1
very good,1
mantap,1
saya biasa pakai canva web versi gratis hari ini kaget kok tidak bisa download nyata semua fiturnya yang belum gratis sekarang sudah bayar cuma setting ukur yang belum gratis sekarang sudah bayar padahal semua desain ada ukur saya sudah coba ganti akun juga untuk download harus bayar jadi selamat tinggal canva saya harus ganti aplikasi lain,0
lalap dengan boi login jirrrrrrr,0
baguss sangat aplikasi nya mudah buat edit,1
bagus sekali guna canva,1
good,1
jaring bagus saja tetapi canvanya tidak bisa buka pepek kamu,0
sangat manfaat,1
bagus,1
baik,1
mantap,1
data pribadi bisa bocor ke darkweb tanya,1
sangat cantik kiyuuu,1
jos,1
bagus n keren bantu design cepat,1
ok,1
sangat bantu dan mudah aplikasi terima kasih,1
bagus,0
iseng saja,0
ajibb,1
sangat bagus,1
keren,1
bagus mudah di guna,1
bagus,0
baik,1
canva bantu,1
mantap,1
canva adalah aplikasi editing yang sangat bagus untuk mula karena banyak sedia tamplate sehingga mudah untuk guna aplikasi yang masih belum kuasa editing,1
bagus,1
baik,1
kurang suka soal tidak jelas,0
sangat bagus,1
best,1
bagus sekali,0
nge lag sekali ajg,0
mudah di paham fitur nya untuk yang baru download tidak bakal bgung,1
untuk fitur fitur yang ada di dalam sudah bagus tetapi tolong kepada developer baik bugnya yaitu jaring padahal jaring di rumah sudah sangat bagus tetapi pada saat edit vidio tugas lot sekali tolong segera baik soal banyak tugas,1
bagus,1
canva sangat lah anjinggg masa iya saya mau ngedit terus si canva nya muat ulang muat ulang terus habis itu gambar nya tidak muncul terus kalau lagi di tingl sebentar hp nya terus mati saja lnsung kembali dan harus mulai ulang siapa yang tidak kesal coba sudah ulang kali saya coba terus hampir tengah hariiii saya buka canvaa bagi adminnn mohon di baik seru seru seru seru seru saya tidak mau tauuu pokok nya kalau belum di baik saya akan tetap asih bintang kalau perlu gaush kasih bintang sama sekali,0
sangat baguss,1
bagus,1
loading lama,1
bagus mah,1
sangat bagus,1
susah juga operasi canva,1
amazing,1
bagus,1
aplikasi bagus tetapi banyak lag jika di android tetapi kalau di chrome tidak ada lag sama sekali,1
mantap,1
kok tidak bisa dibukak kenapa ya kak,1
good,1
tidak suka saja,0
terbaikkkk seru seru seru seru seru seru,1
suka sangat,1
terima kasih,1
sukaa bangets,1
sangat bantu,1
bisa di buat sarana ajar,1
jos,1
bagus,1
good job,1
aplikasi boros data jaring harus bagus tolol tidak usah didownload ada fitur pro yang menggangu apl suka ngebug,0
canva ini sangat bagus tetapi harus online saran saya ada mode offline,1
bug,0
sangat bantu,1
sangat bantu dalam ajar paud,1
sangat bagus,1
bagusss bangettt,1
bagus,1
bagus,1
kereennn bangettt huhuuuu jadi gampang sangat dahh buat edit foto vidio,1
sangat bantu,1
bagus sekali dan sangat bantu untuk edit dengan banyak nya template mudah saya,1
i like,1
bagus,1
canva sangat bantu saya dalam buat vidio ajar,1
sangat bantu,1
sangat bantu thankyou,1
bagus,1
aplikasi ini bantu editing video dengan mudah,1
mohon maaf ini kenapa canva tiba tiba jadi burem yaa tanya mohon baik,0
ini sangat bi,1
mantaf,1
canva aplikasi design yang sangat bagus dan mudah guna khusus untuk para mula karena sedia ribu template tarik dan mudah editing,1
kak saran dong bayar canva jangan cuma lewat kartu kredit karena mungkin banyak dari teman yang tidak punya kartu kredit tolong mudah dalam bayar kak,1
tanda apakah jelek buat saya,0
keren,1
bagus sekali aplikasi nya sangat mmbantu,1
lot,0
terima kasih sudah saya install dan bagus untuk buat banner stiker dan lain lain,1
terima kasih aplikasi moga manfaat n mohon untuk di baik lagi karena aplikasi sangat lamban selalu di muat ulang saat login,1
oo bagus,1
mantap jiwa,1
mantap,1
baik,1
aplikasi canva ini bisa andal sekali untuk bantu buat persentase dan amat payah untuk buat video utama yang kena dengan audio,1
canva keren sekali dan juga bagus sekali,1
sukses,1
luar biasa,1
oke,1
mantap,1
apa nih aplikasi eror terus pas masuk loading loading tidak jelasss padahal jaring internet lancar sudah pakai yang bayar percuma sama jelek,0
bantu buat logo dan desain dengan mudah,1
bagus sekali gampang juga,1
bagai guna saya mau tanya kenapa tiap saya beri fitur patok bagi baris selalu tidak muncul tanya please butuh sekali bantu,1
mirip master,1
halo kak saya coba login tetapi terang alamat email sebut telah hubung dengan akun canva dan tidak bisa masuk itu gimana ya tanya,1
bad,0
fitur nya sangat bagus,1
bagusssssss bangttttttttttt canvaaaaaa,1
elemen lebih banyak,1
sangat mudah di guna,1
keren,1
di android versi error terus tidak bisa masuk akun ajar id,0
tidak asyik,0
sangarrr,1
nice,0
bagus,1
yupzx,1
aplikasi yang bagus,1
topp,1
banyak magfaatnya,0
sangat bagus,1
mantap,1
kereenn sangat pokok,1
cakap gambar nya,1
sangat bantu untuk buat desain,1
adzkia nur safitri,1
sangat bagus,1
keren dan bagus,1
top,1
saya sangat suka dengan aplikasi canva ini sangat mudah saya untuk mebuat desain poster sticker bahkan untuk postingan di instagram saya guna pun mudah tidak ribet dan bisa di guna cara free juga jika mau upgrade ke premium baru di bayar dan di bayar cukup murah turut saya moga makin bagus depan,1
cepat bisa kuasa desain,1
hallo canva sangat bagus saya suka tetapi mohon di baik ya kasih bintang dulu soal terkadang lemott canva nya terima kasih,1
keren bgttt mudah segala urus dalam kerja,1
baik,1
baguss aplikasi nyaa,1
ok,1
oke,1
sgtttt mmbntu apakah nyaa tidak sesal download apakah canvaaaaaa terima kasih you canvaaa,1
cukup baik,1
mantab,1
bagus,1
bagus,1
good sih baru sadar wkwkwk,1
sngat luar biasa bantu,1
bagus,1
sangat batu sekali,1
tidak bisa nhedit eror,0
mantab,1
good,1
aa lucu saya suka,1
sangat bagus,1
bagusss babgettttttt,1
simpel manfaat terima kasih canva,1
good,1
sebener nya canva itu bagus tetapi mengapa saya edit selalu lot tanya,0
bagus sangat bantu,1
bagus sangat,1
luar biasa,1
memang ajib saya puas guna aplikasi canva,1
n wa inna nama j,1
kenapa tidak bisa log in,0
mantapsh,1
aplikasi yang sangat bagus banyak fitur nya dan sangat mudah di guna,1
solusi digital untuk kreatif,1
aplikasi canva bagus dan mantap,1
bagus,1
good buanget,1
mantap canva,1
bagus,1
sangat bantu,1
bagus,1
kerren,1
aplikasi bagus dan sangat guna untuk saya karena bisa buat poster atau apa itu yang tarik tetapi tolong di baik soal kalau misal kita taruh hp kita nanti dokumen nya hilang,1
the app is very slow to use app a sangat lambat guna,0
dupserter,1
keren,1
guud,1
baik,1
bagus sekali apakah ini saya suka,1
terkadang aplikasi nge lag terus kadang keluar masuk saran saya hanya perlu baik saja,1
goodddd,1
aplikasi sudah bagus telah update malah bug masalah jaring gagal masuk aplikasi karena jaring padahal sinyal hp bagus pakai wifi juga sama saja tolong segera baik,0
aplikasi bagus sangat,1
keren bantu,1
saya kenapa ya tidak bisa masuk pakai saya ajar padahal belum saya update sudah bisa tetapi kok sekarang ada tulis canva alami masalah teknis ini benar kenapa plisss saya butuh buat ajar,1
bagus,1
luar biasa,1
sangat bagus,1
keren,1
nice bagus nomor blurr,1
so far canva is my favorite application,1
bagus sekali,1
sangkat bantu,0
sangat cukup bantu,0
stay since tahun of october then i had to uninstall yesterday i dont wanna made spamming or worsen due to my data breach,1
kerennn sekali saya suka canvaaaaaanya,1
sangat baik,1
mudah desain ppt,1
aplikasi nya bagusss,1
nice,1
canva bagus sih tetapi kenapa sering bug sih tanya sudah premium loo desain saya hilang kali tidak bisa di save seru jadi kerja ulang buang waktu waktu di restart malah hilang tolong baik pleaseee,0
terima kasih,1
mantap bro,1
bagus sekali karena bisa edit jadwal piket di sekolah,1
good style,1
saya sangat suka aplikasi ini,1
aplikasi sangat muas,1
bagus bisa guna untuk penting osis,1
hallo developer saya ingin kata kalau kenapa saya dowload canva buat tugas sekolah tetapi loading masuk ke canva nya lama dan tidak bisa buka di hp tolong baik lagi,0
mantul,1
keren dan mudah,1
keren,1
bagus,1
saya kasih bintang dulu kalau edit video fto dan logo nya bagus baru saya kasih bintang full,1
canva aplikasi edit baik,1
canva memang mantap sudah,1
bagus nih,1
bagus,1
mantaf,1
mudah cepat dan keren sangat bantu saya dalam dunia editing,1
bagus,1
lengkap dengan fitur fitur yang sangat mudah di aplikasi,1
kenapa pilih ukur centimeter tidak bisa di tekan tanya,0
bagus sekali dan juga simpel,1
good,1
ok,1
hel my jobs very good,1
the best,1
benar nya aplikasi sangat bagus tetapi sayang sekali sangat lambat padahal internet stabil tetapi canva ini lot sekali,1
aplikasi ini sangat bantu,1
bagus,1
top,1
canva nomor,1
lelet sangat versi mobilenyaa,0
tarik dan senang,1
nice,1
saya suka sangat sama aplikasi nya cocok buat saya jual,1
baik,1
moga selalu sehat sukses buat canva,1
ini kalau premium satu kali bayar atau bulan sih kalau satu kali bayar ya oke kapan waktu beli,1
sangat bantu,1
bagus,1
suka dan sangat bantu utama untuk mula mudah guna ada ribu template dan video yang sedia dan siap guna desain mewah dan tarik,1
sangat bantu,1
i like for apakah,1
aplikasi canva sangat perfeck,1
hapus background saja harus bayar tetapi bagus lah,0
mantappp ekspresi,1
bguss,1
bagus sekali,1
good,1
semua keren,1
online,1
sangat mudah kerja saya,1
sangat bantu kerja desain,1
sangat bangus,1
bagu juga tengks,1
mantap,1
keren aplikasi,1
mantap selalu andal,1
anak desing grafis butuh bngett ini bagus bagus,1
good,1
aplikasi sangat bagus tetapi dipakenya lot moga pihak kembang bisa segera atas masalah sebut,0
sangat bantu sekali,1
bagus sekali inti yang mau buat apa saja di sini ada,1
mantap,1
cukup baik,1
saya senang dengan canva makin terbang tinggi,1
aplikasi yang sangat manfaat sangat mudah guna,1
kacauuuuu dulu pertama bagus sekarang hadeuhhhhhh hasil edit video tidak bisa di unduh sudah nunggu jam,0
keren,1
sangat bagus,1
amazing,1
turut saya canva memeberikan nuansa yang baru dan mudah untuk editing photo dan vidio,1
isi dan lengkap fitur nya sudah bagus design nya pun agam hanya saja lambat sekali terlalu uras energi sampai emosi saya ledak karena bug yang lama tolong lah cepat baik jaring di kita sudah bagus untuk buka app lain,1
bagus bangt nih apakah tetapi masalah pas login pakai akun ajar id malah tidak bisa itu saja kurang pas sudah login malah harus update padahal sudah latest update,1
sangat bantu jadi erti guna amplikasi ini,1
sangat bantu,1
bagus,1
sangat manfaat,1
tampil sangat muas,1
mantap pokok,1
good,1
alhamdulillah dengan canva semua jadi lebih mudah,1
wow,0
bagus,1
bagus sekali saya bisa desain puas love canvaa,1
bagus sekali ini aplikasi nya,0
keren,1
cakkkepp sangat ni aplikasi,1
terima kasih canva telah mudah saya kerja tugas,1
puas sekali,1
bagus sekali aplikasi ini untuk edit foto,1
canvaa kamu tidak ada niat kasi saya premium gratis kahh t t mau buat struktur kelas tetapi canva tidak premiumm love you canvaa,1
sangat manfaat,1
aplikasi ini sangat manfaat untuk saya bagai didik dan mudah untuk guna,1
guud,1
mantap,1
mantap,1
kereeen,1
bagus tetapi suka lama ngebuka nya,1
baguss,1
bagus,1
very good app,1
bagus,1
keren kek nya wkwkwk,1
mantap bingitsz,1
sangat bantu,1
keren,1
servernya suka lot dan eror,0
keren,1
bagus,1
mantapsss,1
bagus,1
ok saja,1
aplikasi nya bagus dan mudah guna,1
bagusss sekali sumpah,1
baik,0
bagus sih tetapi banyak sekali template yang hanya bisa guna dengan premium jadi kurang muas,1
terima kasih karena telah bantu kami,1
aplikasi susah untuk edit lot lola buat buka dokumen susah minta ampun loading terus padahal saya itu tidak pakai data pakenya wifi di rumah tetapi tetap saja lola lot saran deh baik tolong nyusahin sekali kalau kaya gin buat saya ajar yang sering ada tugas dari sekolah mohon tolong baik,0
good apakah,1
bagusss,1
bagus tetapi kenapa ada hitam yang pro ya tanya itu buat apa tanya,1
mantap,1
baguss,1
bagus,1
googd,1
lucu,1
bagus tetapi sering lag,1
aplikasi jalan sangat lambat,0
ke install nya lama sekali,0
oke sekali,1
loading nya lama sekali,0
keren,1
sangat maknjaaa,1
rekomendasi sekali karena sudah komplit semua,1
bagus dan mudah saya,1
bagus manfaat,1
aplikasi yang sangat bagus,1
mantapp jiwa,1
sementara ini aplikasi bagus tidak ada masalah tetap tahan good job,1
mantabe mudah guna,1
mantap,1
keren,1
lumayan,1
bagus,1
aplikasi nya keren bngett,1
sangat bagus,1
mantap,1
sangat bagus dan tidak ada iklan,1
aplikasi sangat buruk karena lot padahal jaringanya bagus,0
good canva,1
baguus,1
masih ajar jadi belum terlalu bisa,1
apakah nya sangat bagus sekali,1
bagus,1
kerenn cuyy apakah nyaa guna sangat buat bikin struktur begituu anjaaaayyyy,1
alam seru pakai canva,1
pas mau masuk ke room edit malah closed,0
sangat bantu,1
bagus sekali aplikasi ini,1
baguss template nya juga lucu lucu,1
sangat bagus untuk di pakai,1
sangat bantu dalam tugas edit saya terima kasih canva,1
kalau mau pakai aplikasi susah sekali padahal mau ngedit hari itu juga tidak jadi,0
canva mirip nya baik sekali sama saya saya ricxquees yang rendah tetapi pas saya liat hasil lumayan,1
bagua,1
belum bisa guna nya,1
gampang buat desain apa pokok ajar wajib sekali pakai apakah ini,1
baru di coba mudah n bagus,1
sangat bantu saat buat poster tugas,1
kalian wajib download karana fitur nya bagus terima kasih saya jadi suka terima kasih banyak sudah ada fitur fitur lain,1
baik,0
bagus sangat saya bisa pakai,1
aplikasi yang sangat bantu bintang,1
sangat bantu sekali aplikasi,1
easy and simple to operate,1
terima kasih telah batu presentasi kami,1
bagus sekali,1
bagus sangat,1
baguuss,1
keren,1
mudah,1
gg buat gambar postur iklan dan lain lain dalam kerja tugas sekolah btw saya masih smp,1
sangat bantu saya,1
bagus hasil,1
mayan bantu aamiin,1
memang jempol ya thank yak,1
good,1
ihhh suka sangat saya sama aplikasi ini,1
lopeeeeee,1
ok,1
mantap,1
sangat mudah dan manfaat,1
canva baik,1
aplikasi bagus,1
sangat baguss,1
aplikasi nya bagus buat ngedit maupun buat tamplet buat cv,1
kerenaih,1
aplikasi yang benar benar bagus,1
apakah mantap dan ringan untuk pakai,1
ok,1
aplikasi ini bagus dapat bantu siswa yang ingin buat desain cover buku tolong lebih kembang lagi ini sudah sangat bagus kok semangat ya,1
canva selalu yang baik,0
canva keren,1
i think this is quite good for editing photos and so on but there are several shortcomings that might not be a problem for me,1
canva aplikasi edit baik turut karena untuk edit foto lebih banyak pilih dan banyak template tarik seru,1
bagus,1
mantapppll,1
bagus tetapi kurang au ah bingung ngejelasin nya,1
sangat mudah untuk edit,1
guna bangettt,1
andry kasih bntang dulu,0
canva bagus buat ngedit tugas saya sering pakai kalau butuh,1
aplikasi sangat manfaat,1
bagusss trusss muas bisa bantu saya dalam kerja eja sekolah,1
sangat bantu buat kerja hari hari bagai desainer mula pokok best,1
bagus tidak banyak iklan,1
manfaat sekali untuk saya yang masih ajar jadi tahu banyak hal,1
ngeleg,0
ok baik sekali,1
burem,0
mudah dan cerdas,1
ketika di download selalu loadingnya luama sangat tetap tidak bisa,0
nice,1
sangat baik,1
saya suka sama desain nya bagus bagus semua tetapi harus bayar,1
bagus tetapi kalau lagi buat kadang ada yang ngeblenk,1
saya sukah,1
oke,1
sangat bantu untuk bikin ppt,1
sangat bantu,1
mantap mantap mantap mantap mantap,1
sinyal padahal bagus hanya gagal gagal terus bikin emosi,0
aplikasi lag padahal jaring bagus bikin emosi saja,0
bagus sekali meski awal bikin pusing soal tidak paham,1
sungguh gembira dapat cipta karya yang takjub di canva,1
mantap untuk guru,1
aplikasi ini benar bagus tetapi lag nya terlalu parah loading terlalu lama padahal saya guna untuk aplikasi lain yang lebih berat lacar lancar saja mau sampai kapan aplikasi ini masih mah loading nya lama terus dan banyak bug tanya mohon di balas developer saya ingin tahu jawab anda developer,0
bagus,1
aplikasi ini bagus saya sangat suka,1
baguss,1
sangat puas dan sangt bantu,1
aplikasi mudah di guna dalam hal edit dan sangat bantu sekali,1
app yang sangat bantu,1
top,1
aplikasi yang mudah jalan,1
aplikasi terbaikkk dan favorit saya,1
good,1
bagus,1
luar ekspektasi,0
aplikasi sangat lot buang waktu tunggu gambar buka padahal jaring bagus memori banyak baru saja di baru kecewa sama canva padahal dulu masih oke tetapi sekarang malah makin lot,0
ok,1
ka saya mau tanya waktu tambah foto ko tidak bisa bagaimana cara,0
terima kasih banyak sekali aplikasi canva ini sangat bantu saya,1
